Char,AtkSpd,Frame Init,Frame End,Fend-Finit
Shenhe,100,131,309,178
Shenhe,100,1181,1361,180
Shenhe,108,2144,2304,160
Shenhe,108,3066,3227,161
Shenhe,108,441,603,162
Shenhe,108,1404,1566,162
Shenhe,112,2816,2980,164
Shenhe,112,3411,3569,158
Shenhe,112,340,501,161
Shenhe,112,746,907,161
Shenhe,115,122,288,166
Shenhe,115,760,914,154
Shenhe,115,1520,1675,155
Shenhe,120,436,582,146
Shenhe,120,1472,1625,153
Shenhe,120,2449,2597,148
Shenhe,120,3354,3503,149
Chongyun,100,18,243,225
Chongyun,100,850,1076,226
Chongyun,100,1669,1898,229
Chongyun,108,2542,2749,207
Chongyun,108,3642,3855,213
Chongyun,108,4440,4655,215
Chongyun,123,9083,9280,197
Chongyun,123,11853,12047,194
Chongyun,123,15654,15848,194
Chongyun,115,16958,17166,208
Chongyun,115,18547,18754,207
Chongyun,115,21892,22099,207
Chongyun,135,24534,24724,190
Chongyun,135,24871,25057,186
Chongyun,135,29209,29398,189
Razor,100,665,870,205
Razor,100,1274,1479,205
Razor,100,1777,1983,206
Razor,108,2388,2579,191
Razor,108,3337,3527,190
Razor,108,4252,4442,190
Razor,115,7154,7335,181
Razor,115,7521,7703,182
Razor,123,13366,13537,171
Razor,123,13692,13866,174
Razor,123,16591,16763,172
Razor,135,20277,20435,158
Razor,135,25512,25670,158
Razor,135,32431,32587,156
Razor,141,35677,35828,151
Razor,141,35952,36104,152
Razor,141,38745,38899,154
Razor,141,38980,39133,153
Razor,153,46784,46924,140
Razor,153,47060,47201,141
Razor,153,53384,53523,139
Razor,161,59522,59658,136
Razor,161,62262,62399,137
Razor,161,62471,62609,138
